Title,Description
Aaranya Kaandam,A drama that unfolds between two rival mafia gangs on a single day when a bag of cocaine gets stolen by two innocent people.
Jazz on a Summer's Day,"Set at the 1958 Newport Jazz Festival, this documentary mixes images of water and the town with performers and audience. The film progresses from day to night and from improvisational music to Gospel. It's a concert film that suggests peace and leisure, jazz at a particular time and place."
Blue Collar,"Fed up with mistreatment at the hands of both management and union brass, and coupled with financial hardships on each man's end, three auto assembly line workers hatch a plan to rob a safe at union headquarters."
Queen Charlotte: A Bridgerton Story,"The story of how the young Queen Charlotte’s marriage to King George sparked both a great love story and a societal shift, creating the world of the Ton inherited by the characters in Bridgerton."
Damnation,"Karrer plods his way through life in quiet desperation. His environment is drab and rainy and muddy. Eaten up with solitude, his hopelessness would be incurable but for the existence of the Titanik Bar and its beautiful, haunting singer. But the lady is married and Karrer is determined to keep her husband away..."
M3LL155X,"An aggressive statement conceptualizing the process of feeling pregnant with pain, birthing creativity and liberation."
Princess Jellyfish,"Amamizukan is an apartment complex where no boys are allowed. Tsukimi, a girl who adores jellyfish, lives there happily with her friends who all have nerdy obsessions of their own. Their peaceful lives gradually start to change when a beautiful woman helps Tsukimi out of a pinch. She stays overnight at the apartments—but it turns out ""she"" is really a ""he""."
Dangerous Days: Making Blade Runner,"The definitive 3½-hour documentary about the troubled creation and enduring legacy of the science fiction classic 'Blade Runner', culled from 80 interviews and hours of never-before-seen outtakes and lost footage."
Triumph Over Violence,"Romm pulls out all the stops in its selection of documentary material to draw the viewer not only into absolute horror about fascism and nazism in the 1920s–1940s Europe, but also to a firm conviction that nothing of the sort should be allowed to happen again anywhere in the world."
The King of Pigs,"Two friends in the past were victims of serious school bullying. One could not resist his trauma, and becomes a serial killer, walking in the path of revenge. Another one tries his best to overcome the trauma and becomes a police detective. He now faces tragic fate to risk his life to capture the serial killer."
The Tree of Wooden Clogs,"On a northern Italian farm, Batistì and his wife decide to send their son Minec to school, sacrificing his help in the fields but hoping to break the cycle of poverty in the family. But when Minec’s shoe breaks while walking for miles, Batisti puts the family’s future at risk to replace the clog."
Bloodhounds,Two young boxers band together with a benevolent moneylender to take down a ruthless loan shark who preys on the financially desperate.
The Insider,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
Notorious,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover."
Maradona's Legs,"During the 1990 World Cup, two young Palestinian boys are on a quest for “Maradona’s legs”; the last missing sticker that they need in order to complete their world cup album and win a free Atari."
Tale of the Three Jewels,"A Palestinian boy becomes entranced with a beautiful Romani girl and a fairy tale world she weaves amidst conflict in Gaza. The children explore nature, mysticism and what their future holds, while learning to live with the surrounding brutality c. 1990. Yusef's family scrapes by in a seaside camp while his father's in prison and his heavily-armed brother's on the run, parrying with Israeli troops. Salah, Yusef's schoolmate from a well-off Arab family strives faithfully to assist them, while Yusef helps an elderly, blind neighbor escape from his lonely abandonment into the North American dreamworld he's waited so long for."
Flow,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together."
Cheburashka,"Second animation about Gena and Cheburashka. Cheburashka wishes Gena the Crocodile a happy birthday and gives him a toy helicopter as a gift. After meeting some pioneers, they decide to be pioneers themselves. They build a playground for the local children and collect scrap metal, after which they become pioneers."
Forever a Woman,"Fumiko, mother of two children and wife of an unfaithful man, shares her family life with her budding vocation as a poet. The beginning of her successful literary career coincides with her divorce and her breast cancer diagnosis. In the last stage of her life, she meets a young journalist from Tokyo who wants to write a story on her life."
